               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.022443,           0.0093028,           0.0018732,             0.99852,             0.99435,               0.995,             0.81513,            0.016782,           0.0077424,           0.0014856,            0.007416,            0.007416,            0.007416
                 110,            0.021719,           0.0090921,             0.00189,             0.99847,             0.99772,               0.995,             0.81022,            0.017096,            0.007632,           0.0014972,           0.0073733,           0.0073733,           0.0073733
                 111,            0.021242,           0.0094908,           0.0021335,             0.99908,             0.99661,               0.995,             0.82532,            0.016662,           0.0075643,           0.0015168,           0.0073303,           0.0073303,           0.0073303
                 112,            0.020846,           0.0092957,           0.0015072,             0.99886,             0.99565,             0.99498,             0.81571,            0.017191,           0.0075715,           0.0013465,           0.0072872,           0.0072872,           0.0072872
                 113,            0.022078,           0.0090384,           0.0017603,             0.99822,             0.99661,             0.99492,             0.81849,            0.016803,           0.0074163,           0.0012939,           0.0072438,           0.0072438,           0.0072438
                 114,            0.020833,           0.0091888,           0.0017864,             0.99985,             0.99661,               0.995,             0.82575,            0.016612,           0.0074438,            0.001405,           0.0072003,           0.0072003,           0.0072003
                 115,            0.021493,           0.0093035,           0.0018312,             0.99951,             0.99547,               0.995,             0.82622,            0.016352,           0.0074222,            0.001419,           0.0071566,           0.0071566,           0.0071566
                 116,            0.021297,           0.0086082,           0.0016488,             0.99996,             0.99661,               0.995,             0.83338,            0.015944,           0.0073537,           0.0013418,           0.0071127,           0.0071127,           0.0071127
                 117,            0.021398,              0.0085,           0.0017341,              0.9988,             0.99435,               0.995,             0.81383,            0.017146,           0.0073933,           0.0013583,           0.0070686,           0.0070686,           0.0070686
                 118,             0.02123,           0.0088829,           0.0018632,             0.99756,             0.99659,               0.995,             0.83386,            0.015919,           0.0073337,           0.0013833,           0.0070243,           0.0070243,           0.0070243
                 119,            0.020522,            0.008706,           0.0017694,                   1,             0.99369,               0.995,             0.82052,            0.016573,           0.0074227,           0.0013773,           0.0069799,           0.0069799,           0.0069799
                 120,            0.021519,            0.009553,           0.0018897,             0.99492,             0.99656,               0.995,              0.8216,            0.016491,           0.0072947,           0.0013458,           0.0069353,           0.0069353,           0.0069353
                 121,            0.021168,           0.0086233,           0.0016784,             0.99875,             0.99435,               0.995,             0.82538,            0.016898,           0.0073816,           0.0013201,           0.0068906,           0.0068906,           0.0068906
                 122,            0.022005,           0.0089419,           0.0017945,             0.99799,             0.99547,             0.99499,             0.82167,            0.016479,           0.0073941,           0.0013598,           0.0068457,           0.0068457,           0.0068457
                 123,            0.021482,            0.008646,           0.0018029,             0.99836,             0.99661,               0.995,             0.81878,            0.016282,           0.0073373,           0.0013515,           0.0068006,           0.0068006,           0.0068006
